Name,Age,Occupation,Function,Hometown,Height,ElimWeek,Season,First_Impression_Rose
Amanda Marsh,23,Event Planner,Retail/Services/Entrepreneur,"Chanute, Kansas",,7,1,0
Trista Rehn,29,Miami Heat Dancer,Arts/Entertainment,"Miami, Florida",,6,1,0
Shannon Oliver,24,Financial Management Consultant,Finance,"Dallas, Texas",,5,1,0
Kim,24,Nanny,Retail/Services/Entrepreneur,"Tempe, Arizona",,4,1,0
Cathy Grimes,22,Graduate Student,Student,"Terra Haute, Indiana",,3,1,0
Christina,28,Attorney,Legal,"Bonita, California",,3,1,0
LaNease Adams,23,Actress,Arts/Entertainment,"Los Angeles, California",,3,1,0
Rhonda,28,Commercial Real Estate Agent,Real Estate,"Woodward, Oklahoma",,3,1,0
Alexa,27,Special Ed. Teacher,Education,"Beverly Hills, California",,2,1,0
Amy,28,Production Coordinator,Arts/Entertainment,"New York, New York",,2,1,0
Angela,25,Hooters Waitress,Restaurant,"Avondale, Arizona",,2,1,0
Angelique,27,Actress,Arts/Entertainment,"Burbank, California",,2,1,0
Katie,23,Power Tool Sales Rep.,Sales,"Malden, Massachusetts",,2,1,0
Melissa,25,Photographer,Arts/Entertainment,"Tempe, Arizona",,2,1,0
Tina,27,Graduate Student,Student,"Plano, Texas",,2,1,0
Amber,29,Business Development Director,Sales,"Los Angeles, California",,1,1,0
Daniela,30,Neuropsychologist,Medical,"Seattle, Washington",,1,1,0
Denise,30,Doctor,Medical,"Honolulu, Hawaii",,1,1,0
Jackie,22,Bar Manager,Restaurant,"Pittsburgh, Pennsylvania",,1,1,0
Jill,31,Retail Manager,Retail/Services/Entrepreneur,"Chicago, Illinois",,1,1,0
Kristina,27,Advertising Executive,Marketing,"Los Angeles, California",,1,1,0
Lisa,29,Attorney,Legal,"Dallas, Texas",,1,1,0
Paula,24,Insurance Representative,Sales,"Swansea, Massachusetts",,1,1,0
Rachel,29,6th Grade Teacher,Education,"Eastchester, New York",,1,1,0
Wendi,26,Technology Specialist,Corporate,"Dallas, Texas",,1,1,0
Helene Eksterowicz,27,School Psychologist,Education,"Gloucester, New Jersey",,8,2,0
Brooke Smith,22,College Student,Student,"Albertville, Alabama",,7,2,0
Gwen Gioia,31,Executive Recruiter,Sales,"Philadelphia, Pennsylvania",,6,2,0
Angela,27,Registered Nurse,Medical,"Kansas City, Missouri",,5,2,0
Hayley,28,Retail Manager,Retail/Services/Entrepreneur,"Lake Oswego, Oregon",,4,2,0
Heather Crawford,30,Flight Attendant,Transportation,"Dallas, Texas",,4,2,0
Christi,23,Assistant Financial Advisor,Finance,"Boise, Idaho",,3,2,0
Heather,24,Marriage Therapy Trainee,Medical,"Walnut Creek, California",,3,2,0
Kyla,22,Airline Supervisor,Transportation,"Midvale, Utah",,3,2,0
Shannon,26,Graphic Artist,Arts/Entertainment,"Long Island, New York",,3,2,0
Dana,24,Radio Sales,Sales,"Beverly Hills, California",,2,2,0
Erin,25,Publications Quality Control,Corporate,"Westchester, Pennsylvania",,2,2,0
Suzanne,33,Flight Attendant,Transportation,"Redondo Beach, California",,2,2,0
Frances,30,Strategic Planning Analyst,Finance,"San Francisco, California",,2,2,0
Anindita,27,Attorney,Legal,"New York, New York",,2,2,0
Amber,26,Psychologist,Medical,"Chapel Hill, North Carolina",,1,2,0
Camille,29,Actress,Arts/Entertainment,"Los Angeles, California",,1,2,0
Cari,29,3rd Grade Teacher,Education,"Granite City, Illinois",,1,2,0
Christy,24,Radiological Technologist,Medical,"Avondale, Arizona",,1,2,0
Erin,24,Interior Designer,Retail/Services/Entrepreneur,"Houston, Texas",,1,2,0
Fatima,22,College Student,Student,"Long Beach, California",,1,2,0
Liangy,30,Paralegal,Legal,"Coral Gables, Florida",,1,2,0
Lori,26,Former NBA Cheerleader,Arts/Entertainment,"Dallas, Texas",,1,2,0
Merrilee,28,1st Grade Teacher,Education,"Forked River, New Jersey",,1,2,0
Suzi,28,Communications Specialist,Corporate,"Richmond, Virginia",,1,2,0
Jessica Bowlin,22,Student,Student,"Huntington Beach, California",,8,5,0
Tara Huckeby,23,General contractor,Corporate,"Shawnee, Oklahoma",,7,5,0
Mandy Jaye Jeffreys,26,Designer for an architect firm,Retail/Services/Entrepreneur,"Midland, Texas",,6,5,0
Trish Schneider,28,Model,Arts/Entertainment,"Atlanta, Georgia",,5,5,1
Suzie Williams,23,Prosthetic technician,Medical,"Ann Arbor, Michigan",,4,5,0
Karen Lindsay,28,Pharmaceutical sales,Sales,"Pleasant Grove, Utah",,4,5,0
Jessica Holcomb,25,Attorney,Legal,"Pearsall, Texas",,3,5,0
Julie Durda,24,Professional Cheerleader,Arts/Entertainment,"Sacramento, California",,3,5,0
Jenny De Schiralli,26,Swim instructor/nanny/personal trainer,Retail/Services/Entrepreneur,"Carrboro, North Carolina",,3,5,0
